country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct,average_annual_wage,household_disposable_income,interest_rate,population,housing_pressure,true_affordability,financing_pressure,population_growth,demand_pressure
DEU,Germany,2019,128.707321768305,121.84152373817,105.558325,114.474061936798,121.926145887549,5.774548921150102,4.279912899253402,1.4414992745654942,53.45828713142835,12.550802470314038,42383.223,35351.7793839047,-0.253634457795785,83092956.0,0.0030367516356249033,274.66797458146084,-32.64461177105167,0.22575987095134753,-5.548789050198755
DEU,Germany,2020,138.684846712117,130.561431307573,107.04225,123.095477944226,129.555040215819,7.752103615187678,7.1567617523739635,1.4057868008042096,65.35453255594888,14.133026795640925,42341.256,36071.5163052037,-0.511024005583788,83160871.0,0.00327540700994125,260.09702689495134,-70.87128588059967,0.08173376332887283,-7.670369851858805
DEU,Germany,2021,154.739386848467,141.06659202458,108.505175,133.122095917368,142.59484296635,11.576275647242218,8.046143958286756,1.366679979167107,84.49642903983441,15.692860022474363,43638.923,37802.9092037468,-0.373821169772257,83196077.5,0.003545902974013978,244.3004975893202,-57.844858601535734,0.042335415173799795,-11.533940232068417
DEU,Germany,2022,164.116660291651,140.289771154397,110.35165,130.598285379395,148.742548071045,6.060043040216345,-0.5506767116395972,1.7017391106000312,95.67699204731058,17.661650669648576,45484.278,42501.3770918378,1.14258298496571,83177812.5,0.0036082063409174263,258.9705214346233,187.516903598638,-0.02195416003837325,-6.081997200254719
DEU,Germany,2023,150.28787571969,120.389571041103,112.599525,113.589201059907,133.494599451686,-8.426191800019522,-14.185068483284269,2.0370107741932264,79.18887338889525,20.058431170882905,48289.861,45926.6267519884,2.43459870594911,83287273.0,0.0031122035269409865,305.59103009512637,365.89066774699796,0.13159819513166582,8.557789995151188
DEU,Germany,2024,147.9871199678,115.781692762819,115.03475,107.844944773763,128.648436433119,-1.5308991100394964,-3.8274729600214163,2.162731148288599,76.44567252089485,22.654972257962203,50256.9,47685.3791601533,2.32108411234499,83516592.5,0.0029446129778756746,322.2265503276839,343.49055298895263,0.27533558458565643,1.8062346946251528
DEU,Germany,2025,152.688381718502,116.486075776185,117.461049999971,107.938816865295,129.99496038804,3.1768046784915738,0.6083716661570593,2.1091887451148317,82.05100690053455,25.24199712815087,,,2.46588041125541,,,,376.5112895059427,,
ITA,Italy,2010,118.1,126.699166155063,95.2257865725463,118.963048256096,124.019906826481,,,,0.0,0.0,27804.507,22686.2827126232,4.03583333333334,59819402.0,0.004247512822291724,192.0938417664962,476.6319166666674,,
ITA,Italy,2011,119.7,124.802269625974,96.7621620843307,118.114491989022,123.707121168255,1.3547840812870415,-1.4971657562192986,1.6134028051466132,1.3547840812870415,1.6134028051466132,28159.428,23180.2719286049,5.42283333333333,60026844.0,0.004250796571578087,193.65306540187885,649.1131499999996,0.3467804643048744,-1.0080036169821671
ITA,Italy,2012,116.65,118.426629903259,98.8731044755048,119.401685963277,117.994665784419,-2.548036758563077,-5.108592769845033,2.181578362557013,-1.2277730736663717,3.830178814201601,27981.717,22186.0622250264,5.49275,60191243.0,0.0041687935018426495,190.1934181313879,640.7292875,0.2738758012998277,2.8219125598629047
ITA,Italy,2013,109.1,109.529399896196,100.17460113667,111.567119201379,108.912164434298,-6.4723531933133405,-7.512862617412164,1.3163303287272,-7.620660457239625,5.196926948304625,28385.833,22469.5892238613,4.31641666666667,60311616.0,0.0038434665630562963,205.95407171275255,470.92105833333363,0.19998424023242034,6.672337433545761
ITA,Italy,2014,103.95,104.100486478908,99.8650932115992,105.470486923937,104.090876110452,-4.720439963336376,-4.956580993261294,-0.30896846262311595,-11.981371718882292,4.871901620385688,28565.921,22476.7473047421,2.89316666666666,60320708.0,0.003638951462478665,216.2265252981443,300.7446749999993,0.015075039607626017,4.735515002944002
ITA,Italy,2015,100.0,100.0,100.0,100.0,100.0,-3.7999037999038032,-3.9389695645070777,0.13508903267627215,-15.325994919559694,5.013572057833882,28857.865,22707.0666236993,1.71391666666667,60229599.0,0.0034652598173842727,227.070666236993,171.39166666666702,-0.1510409990545858,3.6488628008492174
ITA,Italy,2016,100.25,99.7309442316483,100.300361151325,98.7343320121169,99.949749960284,0.24999999999999467,-0.2690557683517003,0.3003611513250126,-15.114309906858592,5.328992031914304,29120.065,24284.7208467397,1.48633333333333,60115220.0,0.003442643414429192,242.24160445625634,149.00491666666633,-0.1899049668253605,-0.4399049668253552
ITA,Italy,2017,99.1749999999999,97.3497752293067,100.500345272586,95.367807653978,98.6815236656898,-1.07231920199512,-2.3875929589223355,0.19938524544220737,-16.024555461473412,5.539002501198942,29243.146,25126.1328995091,2.113,60002254.0,0.003391392978033208,253.35147869431938,209.5567749999998,-0.1879158056811603,0.8844033963139597
ITA,Italy,2018,98.6249999999999,95.5382960481508,100.883639838997,93.2578330783052,97.7614630847146,-0.5545752457776665,-1.8607944156922573,0.3813863179985999,-16.49026248941583,5.94151381689072,29554.96,26071.5681744759,2.61033333333333,59877216.0,0.003337003332097215,264.3505011353706,257.4441249999994,-0.2083888381926413,0.34618640758502517
ITA,Italy,2019,98.5249999999999,94.5929724566766,101.158618005731,92.2623620656087,97.3963384291272,-0.10139416983523386,-0.9894708515606698,0.2725696328689686,-16.574936494496264,6.230278212157225,29877.635,27735.3873028427,1.9515,59729077.0,0.0032976170972033067,281.50608782382875,192.27153749999982,-0.24740462215210313,-0.14601045231686927
ITA,Italy,2020,100.4,96.1396898598098,101.400273818259,96.0157013551393,99.0135464885824,1.903070286729358,1.6351292944532414,0.23888801299589701,-14.987298899237922,6.48404961297826,28485.115,27597.9951536661,1.16816666666667,59438845.0,0.0035246478731084637,274.8804298173914,117.28393333333366,-0.48591408837608263,-2.3889843751054407
ITA,Italy,2021,102.95,97.1699873010025,101.441945509527,93.3216673065231,101.48545103532,2.539840637450186,1.071667115522268,0.04109623149803898,-12.8281117696867,6.527810544515722,30247.202,29693.0908612082,0.810916666666668,59133173.0,0.003403620605965471,288.42244644204175,83.48387083333347,-0.5142630210933641,-3.05410365854355
ITA,Italy,2022,106.875,94.4959419116709,102.591854206776,90.8772515855042,104.176695797258,3.8125303545410327,-2.7519252225980395,1.1335633316900573,-9.50465707027942,7.7353707429005825,31720.06,33616.607114809,3.15675,59013671.0,0.003369318973545447,314.5413531210199,337.37765625000003,-0.20208961220463673,-4.01461996674567
ITA,Italy,2023,108.25,91.1036845631899,105.116653737693,86.9187607908167,102.98332244526,1.2865497076023358,-3.5898444735879442,2.4610136452239306,-8.340389500423361,10.386752917615972,32450.375,37126.9846258196,4.28325,58984217.0,0.0033358628367160625,342.9744538181949,463.6618125,-0.04991046905046259,-1.3364601766527984
ITA,Italy,2024,111.7,92.4136214711872,108.466387768811,87.0429874654911,102.97614911439,3.1870669745958535,1.4378528313953254,3.186682520808648,-5.419136325148177,13.904428278129854,33148.002,38593.1448247868,3.70741666666667,58952700.0,0.0033697355273479227,345.5071157098192,414.1184416666671,-0.05343293783148795,-3.2404999124273415
ITA,Italy,2025,116.199999998344,94.7649040637544,112.607733945974,88.4699987414121,103.187536376121,4.028648163244397,2.5443030530951427,3.818091726249806,-1.6088060979305596,18.25340383004928,,,3.63502543290043,,,,422.3899552970103,,
NLD,Netherlands,2010,111.428,119.174761475429,85.8066107096693,120.108377086129,129.866965984287,,,,0.0,0.0,42635.779,21489.553039139,2.99008333333333,16615390.0,0.0026134857299077376,192.8559521766432,333.1790056666663,,
