country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct
FRA,France,2022,132.425,119.076402253871,102.60506730462,111.07521322083,129.059427708814,6.301424844471204,1.4058368235744467,0.6746388009911009,31.66790952025853,8.962720105954203
FRA,France,2023,131.55,110.667989929498,104.78679214099,102.150216225912,125.555133253761,-0.6607513686992639,-7.061359064616557,2.1263324450563115,30.79791200596571,11.279629776583011
FRA,France,2024,126.225,103.878510091195,107.239166957062,93.4036999225165,117.710993067072,-4.04789053591792,-6.13499878567263,2.340347257479114,25.503355704697974,13.88395954019217
FRA,France,2025,127.025,103.845668691195,109.727216770549,93.4222656927075,115.7687631122,0.6337888690829852,-0.03161520122993977,2.3200943126341356,26.298782003479992,16.526174808486726
DEU,Germany,2010,83.8712096780244,89.667189474751,93.7872699999999,93.4756464659396,89.4298198029436,,,,0.0,0.0
DEU,Germany,2011,86.8222170555428,90.9815651812721,94.9516974999999,93.8084239460803,91.4410173279127,3.5184986467312163,1.4658379661729226,1.2415624209980658,3.5184986467312163,1.2415624209980658
DEU,Germany,2012,89.7977244943114,92.6725439701043,96.084865,95.1386884193145,93.4559988916502,3.4271267651056148,1.85859496422498,1.1934146832921044,7.066208820688846,2.449794092524593
DEU,Germany,2013,92.5982314955789,94.0934959275103,97.3508874999999,97.0301542246202,95.1202714037639,3.1186837050029226,1.5333041443908124,1.317608657721392,10.405265228744076,3.7996814493054254
DEU,Germany,2014,95.4989887474721,95.9971590768333,98.8044674999999,97.6931449917702,96.655619259215,3.132627054580084,2.0231612510067443,1.4931348211900008,13.863850436980595,5.349550637309308
DEU,Germany,2015,100.0,100.0,100.0,100.0,100.0,4.713150695689494,4.169749356814756,1.2099984244134498,19.230425295989974,6.624278540147399
DEU,Germany,2016,107.527268818172,106.749865844791,101.133325,105.065735653773,106.319254593588,7.527268818172006,6.749865844791003,1.1333250000000072,28.205219921068903,7.8326781449125304
DEU,Germany,2017,114.103785259463,111.41234689135,102.53335,107.941592000982,111.281481212541,6.116138272247795,4.367669232800742,1.3843359743190398,36.046428443680846,9.325444700544217
DEU,Germany,2018,121.680804202011,116.840837655746,104.058325,110.815713841308,116.932833163338,6.640462387219204,4.872431930448329,1.4872965722859899,45.080540353638575,10.951438292211835
DEU,Germany,2019,128.707321768305,121.84152373817,105.558325,114.474061936798,121.926145887549,5.774548921150102,4.279912899253402,1.4414992745654942,53.45828713142835,12.550802470314038
DEU,Germany,2020,138.684846712117,130.561431307573,107.04225,123.095477944226,129.555040215819,7.752103615187678,7.1567617523739635,1.4057868008042096,65.35453255594888,14.133026795640923
DEU,Germany,2021,154.739386848467,141.06659202458,108.505175,133.122095917368,142.59484296635,11.576275647242218,8.046143958286756,1.366679979167107,84.49642903983441,15.692860022474363
DEU,Germany,2022,164.116660291651,140.289771154397,110.35165,130.598285379395,148.742548071045,6.060043040216345,-0.5506767116395972,1.7017391106000312,95.67699204731058,17.661650669648576
DEU,Germany,2023,150.28787571969,120.389571041103,112.599525,113.589201059907,133.494599451686,-8.426191800019522,-14.185068483284269,2.0370107741932264,79.18887338889525,20.058431170882905
DEU,Germany,2024,147.9871199678,115.781692762819,115.03475,107.844944773763,128.648436433119,-1.5308991100394964,-3.8274729600214163,2.162731148288599,76.44567252089485,22.654972257962203
DEU,Germany,2025,152.688381718502,116.486075776185,117.461049999971,107.938816865295,129.99496038804,3.1768046784915738,0.6083716661570593,2.1091887451148317,82.05100690053455,25.24199712815087
ITA,Italy,2010,118.1,126.699166155063,95.2257865725463,118.963048256096,124.019906826481,,,,0.0,0.0
